ticker,title,date,forward_return,ground_truth,raw_sentiment,prediction,reasoning,latency_s,correct,error
PEP,Coca-Cola And CL Stock May Offer Little Returns In The Next Three Years,2023-07-04,-0.01876,Bearish,bearish,Bearish,Article suggests limited returns for Coca-Cola stock over the next three years.,3.328,True,
GOOG,Better Buy: Microsoft vs. Alphabet,2019-02-16,-0.0193,Bearish,neutral,Neutral,Article compares two companies without a clear financial impact or directional signal.,3.274,False,
QCOM,"Notable Wednesday Option Activity: QCOM, NOW, ANIP",2020-04-15,0.00237,Neutral,neutral,Neutral,Article discusses option activity among components but no direct financial impact on QCOM.,3.287,True,
SBUX,These Were Starbucks' Most Popular Menu Items in Q2,2020-05-04,0.01488,Bullish,bullish,Bullish,Introduction of popular new products like Nitro Cold Brew indicates innovation driving customer interest.,3.327,True,
INTU,Shares of several technology companies are trading lower with the overall US market as US-China trade tensions continue to concern investors.,2019-05-29,-0.01911,Bearish,bearish,Bearish,US-China trade concerns negatively impact tech stocks.,3.08,True,
QCOM,Wall St Week Ahead-Investors weigh how far tech stocks can slide after volatile week,2021-03-05,-0.00493,Neutral,bearish,Bearish,Significant decline in tech stocks indicates potential longer-term challenges despite short-term recovery.,3.263,False,
DXCM,Guru Fundamental Report for DXCM,2023-04-18,0.02741,Bullish,neutral,Neutral,The article is primarily about a fundamental analysis report for DXCM and does not contain direct financial impact information.,3.5,False,
CPRT,The Hidden Reason Copart's Shares Soared in July,2020-08-11,0.0007,Neutral,neutral,Neutral,Positive spillover from auto industry news benefits Copart's stock without a direct financial catalyst.,3.425,True,
INTC,Micron Stock Is a Buy as the Global Chip Shortage Continues,2021-04-03,-0.00436,Neutral,bullish,Bullish,Micron Technology's strong growth due to the global semiconductor shortage indicates a favorable financial outlook.,3.573,False,
ROST,"Kohl's (KSS) Q2 Earnings Top Estimates, Revenues & Comps Decline",2023-08-23,-0.02363,Bearish,bearish,Bearish,Kohl's earnings and revenues declined year over year despite beating estimates.,3.464,True,
PEP,Fear of fatness fuels Pepsi’s $3.3 billion juice deal,2021-08-03,-0.01506,Bearish,neutral,Neutral,Article discusses a strategic move by PepsiCo but lacks direct financial impact or strong bullish/bearish signals.,3.492,False,
DXCM,Here's Why DexCom (DXCM) is a Great Momentum Stock to Buy,2020-01-17,0.02106,Bullish,bullish,Bullish,Article highlights strong momentum and positive outlook for DexCom stock.,3.141,True,
BKR,Validea David Dreman Strategy Daily Upgrade Report - 10/17/2020,2020-10-17,0.07094,Bullish,bullish,Bullish,Contrarian strategy upgrade based on improving fundamentals indicates strong interest.,3.417,True,
PEP,"Top Stock Reports for Eli Lilly, PepsiCo & IBM",2022-09-13,-0.00914,Neutral,neutral,Neutral,Article is primarily about Eli Lilly and PepsiCo's stock performance; IBM mentioned only as a context.,3.28,True,
FTNT,"Zscaler Stock Might Be in Trouble, and Competition Is the Culprit",2019-12-10,0.00821,Neutral,bearish,Bearish,Revenue slowdown and competition are cited as threats to future performance.,3.178,False,
PANW,Palo Alto Networks Spends Another $800 Million to Keep Pace With a Fast-Changing Cybersecurity Industry,2020-11-19,0.02963,Bullish,neutral,Neutral,Article discusses Palo Alto Networks' spending on acquisitions to keep up with industry changes but does not provide a clear financial impact signal.,3.639,False,
ADI,"Notable Tuesday Option Activity: TXN, ADI, DISH",2020-05-19,0.04401,Bullish,neutral,Neutral,Article discusses options activity for multiple companies without a clear financial impact on any single ticker.,3.402,False,
SBUX,iShares Core S&P U.S. Growth ETF Experiences Big Outflow,2020-05-29,-0.00269,Neutral,bearish,Bearish,Significant weekly share decrease indicates investor concern.,3.29,False,
PAYX,Here's Why Investors Should Retain Paychex (PAYX) Stock,2023-03-02,0.00919,Neutral,bullish,Bullish,Strong earnings growth expectations for the next two years indicate a positive financial outlook.,3.226,False,
EA,World Cup Mania Is Here: 2 Stocks That Are Poised to Gain,2022-11-24,-0.01329,Bearish,bullish,Bullish,World Cup's massive audience expected could boost related sectors like video games.,3.437,False,
AEP,Down Between 9% and 42%: 3 Top Dividend Stocks That Are Too Cheap to Ignore,2022-07-19,-0.00855,Neutral,neutral,Neutral,Article discusses general market volatility without a direct financial impact on AEP.,3.323,True,
EXC,"SPLV, EXC, AEP, AWK: Large Outflows Detected at ETF",2019-05-14,-0.00123,Neutral,bearish,Bearish,Large outflow detected at SPLV ETF indicates investor concern.,3.357,False,
PANW,Micron (MU) Begins New Fab Construction to Expand US Chip Output,2023-10-06,0.0409,Bullish,bullish,Bullish,Significant investment and job creation indicate strong growth prospects for PanWare.,3.326,True,
ADBE,2 Underrated Growth Stocks You Can Buy Now for a Bargain,2022-05-26,0.01929,Bullish,bullish,Bullish,Strong growth potential highlighted by pandemic-driven digital transformation and recent acquisitions.,3.137,True,
DDOG,Best Stocks to Buy Now: Is CrowdStrike Stock a Buy After Earnings? CRWD Stock Analysis,2023-08-30,0.03791,Bullish,bullish,Bullish,GAAP profitability achievement indicates strong financial performance.,3.223,True,
CPRT,Here's Why Copart (CPRT) is a Solid Investment Choice Now,2023-11-20,0.00079,Neutral,bullish,Bullish,Strong market leadership position with expected revenue increase due to salvage auction volumes and strategic acquisitions.,3.499,False,
CSX,What Investors Should Know About the Largest Railroad Merger Ever,2021-03-31,0.0223,Bullish,neutral,Neutral,The article discusses significant events in logistics and infrastructure but does not provide direct financial impact on CSX stock.,3.412,False,
REGN,6 Underperforming Stocks in Gurus' Portfolios,2019-06-05,0.0224,Bullish,bearish,Bearish,Article highlights underperformance of stocks including Regn.,3.167,False,
CPRT,Why This 1 Growth Stock Could Be a Great Addition to Your Portfolio,2023-05-30,-0.00914,Neutral,neutral,Neutral,Article discusses Zacks Premium service without direct financial impact on CPRT.,3.333,True,
FANG,You Won't Want to Miss What These CEOs Said This Quarter,2021-08-14,-0.03763,Bearish,bearish,Bearish,Significant cost overruns and project delays at a major nuclear power construction site indicate financial challenges.,3.653,True,
CSX,Shares of several railroad companies are trading higher as equities gain for the session. Economic optimism amid strong earnings from some US retailers and the reopening of some US states is a potential positive for transportation stocks,2020-05-20,0.06401,Bullish,bullish,Bullish,Economic optimism with gains in railroad shares indicates favorable market conditions.,3.404,True,
GILD,Will Its HIV Lineup Save Gilead Sciences?,2019-11-11,-0.02027,Bearish,neutral,Neutral,Article discusses mixed performance with flat revenues but growing HIV sales; no strong financial signal.,3.271,False,
QCOM,Validea Guru Fundamental Report for QCOM - 3/4/2023,2023-03-04,-0.00988,Neutral,bullish,Bullish,High rating using Peter Lynch’s P/E/Growth Investor model indicates strong interest and confidence in QCOM's fundamentals.,3.666,False,
ADI,Shares of several semiconductor companies are trading lower after President Trump announced the U.S. is not doing any business with Huawei. Huawei is an important customer for many semiconductor companies.,2019-08-09,0.02133,Bullish,bearish,Bearish,Announcement impacts major customers like Huawei negatively affecting several semiconductors.,3.194,False,
PAYX,Paychex (PAYX) Up 3.5% Since Last Earnings Report: Can It Continue?,2020-01-17,0.01609,Bullish,bullish,Bullish,Moderate stock increase since earnings report suggests continued positive performance.,3.238,True,
MU,NVIDIA vs. Micron Technology: Which Is the Better Coronavirus Stock?,2020-04-25,0.10049,Bullish,neutral,Neutral,The article compares NVIDIA's performance with Micron Technology but does not provide a clear financial signal favoring one over the other.,3.207,False,
ALGN,"Wednesday Sector Laggards: Utilities, Healthcare",2020-12-23,-0.00789,Neutral,bearish,Bearish,Utilities and Healthcare sector lagging performance indicates negative sentiment.,3.204,False,
PANW,Palo Alto -2.3% on weak Mizuho checks,2019-05-15,0.02671,Bullish,bearish,Bearish,Weak credit check from a major bank negatively impacts stock performance.,3.248,False,
SNPS,S&P 500 Set to Record Highest Return Since 1997: 5 Picks,2019-12-30,0.0271,Bullish,bullish,Bullish,Record-setting return potential for the major index signals strong market performance.,3.346,True,
ADI,"Top Analyst Reports for Bank of America, Novo Nordisk, & Novartis",2022-05-24,0.01328,Bullish,neutral,Neutral,Article is primarily about analyst reports and does not contain a clear financial impact signal for any specific ticker.,3.407,False,
QCOM,Why Globalstar Shares Fell 23.7% in March,2021-04-07,0.00818,Neutral,bearish,Bearish,Significant decline due to waning market confidence despite positive developments.,3.332,False,
MNST,A Look At The Intrinsic Value Of Monster Beverage Corporation (NASDAQ:MNST),2021-12-29,0.00261,Neutral,neutral,Neutral,Article discusses valuation methods without direct financial impact on MNST.,3.55,True,
NXPI,Goldman Sachs Shares Semiconductor Stock Picks For A Challenging 2019,2019-01-08,0.04696,Bullish,bullish,Bullish,Goldman Sachs' positive outlook on semiconductor stocks signals investor confidence despite market challenges.,3.602,True,
ADP,Here's Why You Should Retain ADP Stock in Your Portfolio,2023-11-21,-0.00238,Neutral,bullish,Bullish,Strong revenue growth rate compared to industry averages indicates positive financial performance.,3.284,False,
AMAT,"Noteworthy ETF Inflows: SOXX, QCOM, INTC, AMAT",2021-06-02,0.00604,Neutral,bullish,Bullish,Noteworthy ETF Inflows indicate strong investor interest and potential growth in the sector.,3.482,False,
EBAY,Lofty Valuations and Inflation: Why eBay Might Be My Favorite Stock Right Now,2022-03-26,0.00987,Neutral,bullish,Bullish,Article highlights strong net income history and undervalued P/E ratio for a good investment opportunity.,3.496,False,
BIIB,"FOCUS-Researchers return to Alzheimer's vaccines, buoyed by recent drug success",2023-11-20,0.00495,Neutral,bullish,Bullish,Breakthrough treatments for Alzheimer's indicate renewed interest in vaccines as a cheaper alternative.,3.611,False,
COST,2 Stocks That Could Be Easy Wealth Builders,2022-10-12,-0.02515,Bearish,bullish,Bullish,Strong earnings growth and stable business outlook for Coca-Cola indicate a positive financial impact.,3.525,False,
COST,"Notable Thursday Option Activity: COST, BBY, MCHP",2022-12-22,-0.00046,Neutral,neutral,Neutral,Article discusses option trading activity without direct financial impact on Costco Wholesale Corp.,3.168,True,
AAPL,Warren Buffett's Buying Spree Winding Down: Good News for Investors?,2022-08-18,-0.03778,Bearish,neutral,Neutral,Article discusses Warren Buffett’s investment activities but lacks a clear financial impact on Apple Inc.,3.209,False,
AMAT,3 5G Stocks You Need on Your Shortlist Right Now,2020-03-30,-0.08457,Bearish,bullish,Bullish,Positive outlook on semiconductor stocks due to expected rise in chip sales and potential for significant growth post-coronavirus.,3.579,False,
CMCSA,Theme Park Stocks Could Be Big Winners in 2022,2022-02-12,0.01456,Bullish,bullish,Bullish,Strong financial performance from Comcast's theme park segment indicates positive growth prospects.,3.232,True,
ROST,"Costco Stays Ahead of Industry, Up More Than 20% in a Year",2019-03-20,-0.02164,Bearish,bullish,Bullish,Costco's significant year-over-year surge outpacing industry growth indicates strong financial performance.,3.516,False,
ASML,What's Good News for ASML May Be Bad News for Texas Instruments,2022-07-25,0.01338,Bullish,neutral,Neutral,Article discusses ASML's DUV machines but does not provide direct financial impact on Texas Instruments.,3.237,False,
WBA,"Walgreens sells $1.85 bln of AmerisourceBergen shares, further cutting stake",2023-08-03,-0.01419,Bearish,neutral,Neutral,Article discusses share sale but no direct financial impact on Walgreens.,3.301,False,
ZS,"Noteworthy Friday Option Activity: ZS, IONQ, SOFI",2023-03-31,-0.0541,Bearish,neutral,Neutral,Article discusses option trading volume but no direct financial impact on ZS.,3.308,False,
AAPL,3 High-Growth Stocks to Invest in Now,2023-03-18,0.00273,Neutral,neutral,Neutral,Article discusses high-growth stocks and future market outlook but lacks direct financial impact on AAPL.,3.422,True,
CPRT,"Group 1 Automotive, Inc. (GPI) Ex-Dividend Date Scheduled for February 28, 2019",2019-02-27,-0.00137,Neutral,neutral,Neutral,Article is primarily about dividend announcement with no direct financial impact.,3.414,True,
